,jawaban_mahasiswa,jawaban_dosen,human_rater,human_rater_scaled
178,"['turbo', 'boost', 'perangkat', 'komputer', 'tingkat', 'clock', 'speed', 'komputer', 'tesebut', 'clock', 'speed', 'cepat', 'komputer', 'satu', 'ghz', 'normal', 'komputer', 'milik', 'clock', 'speed', '2', '4', 'ghz', 'turbo', 'boost', 'nyala', 'clock', 'speed', 'computer', '2', '9', 'ghz']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",100,1.0
161,"['komputer', 'milik', 'arsitektur', 'komponen', 'processing', 'unit', 'control', 'unit', 'simpan', 'data', 'mekanisme', 'input', 'output']","['komputer', 'model', 'von', 'neumann', 'model', 'arsitektur', 'deskripsi', 'john', 'von', 'neumann', '1945', 'first', 'draft', 'of', 'a', 'report', 'on', 'the', 'edvac', 'model', 'arsitektur', 'jadi', 'basis', 'komputer', 'unit', 'pemrosesan', 'isi', 'alu', 'register', 'prosesor', 'unit', 'kontrol', 'isi', 'instruction', 'register', 'program', 'counter', 'memori', 'simpan', 'data', 'instruksi', 'simpan', 'eksternal', 'mekanisme', 'input', 'output']",80,0.8
166,"['turbo', 'boost', 'feature', 'processor', 'naik', 'clock', 'rate', 'komputer', 'kerja', 'komputer', 'berat', 'turbo', 'boost', 'feature', 'processor', 'contoh', 'tulis', 'ntel', 'i5', '2', '3', 'ghz', 'with', 'turbo', 'boost', 'up', 'to', '3', '4', 'ghz', 'normal', 'komputer', 'milik', 'clock', 'rate', '2', '3', 'ghz', 'beban', 'tanggung', 'komputer', 'berat', 'clock', 'rate', 'komputer', 'tinggal', '3', '4', 'ghz']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",100,1.0
38,"['client', 'server', 'jaring', 'komputer', 'jaring', 'milik', 'host', 'level', 'beda', 'client', 'host', 'server', 'host', 'client', 'host', 'request', 'server', 'akses', 'olah', 'data', 'server', 'ubah', 'jaring', 'server', 'host', 'simpan', 'olah', 'data', 'device', 'client', 'jaring', 'server', 'atur', 'data', 'kirim', 'jaring']","['client', 'server', 'jaring', 'komputer', 'model', 'komunikasi', 'belah', 'sedia', 'layan', 'data', 'server', 'guna', 'minta', 'layan', 'data', 'client', 'belah', 'komunikasi', 'hardware', 'beda', 'mesin', 'sistem']",90,0.9
87,"['hibernate', 'meng', 'off', 'mati', 'komputer', 'program', 'aplikasi', 'data', 'hilang', 'tutup', 'user', 'hidup', 'komputer', 'user', 'buka', 'program', 'aplikasi', 'jalan', 'hidup', 'komputer']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",80,0.8
182,"['turbo', 'boost', 'salah', 'utility', 'software', 'fungsi', 'tingkat', 'performa', 'komputer', 'turbo', 'boost', 'jalan', 'fungsi', 'bersih', 'space', 'mengoptimisasi', 'fungsi', 'komputer', 'cepat', 'efektif']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",60,0.6
202,"['turbo', 'boost', 'kondisi', 'cepat']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",50,0.5
32,"['client', 'server', 'metode', 'jaring', 'mana', 'server', 'tindak', 'admin', 'supply', 'data', 'client', 'tindak', 'demant', 'data', 'client', 'izin', 'ambil', 'data', 'server', 'server', 'supplier', 'data', 'hak', 'izin', 'client', 'ambil', 'data']","['client', 'server', 'jaring', 'komputer', 'model', 'komunikasi', 'belah', 'sedia', 'layan', 'data', 'server', 'guna', 'minta', 'layan', 'data', 'client', 'belah', 'komunikasi', 'hardware', 'beda', 'mesin', 'sistem']",80,0.8
126,"['komputer', 'model', 'von', 'neumann', 'komputer', 'milik', 'arsitektur', 'mana', 'letak', 'ram', 'rom', 'memori', 'model', 'komputer', 'milik', 'address', 'data', 'bus', 'tunggal', 'alamat', 'program', 'komputer', 'cpu', 'memory', 'input', 'output', 'komponen', 'komponen', 'hubung', 'bus']","['komputer', 'model', 'von', 'neumann', 'model', 'arsitektur', 'deskripsi', 'john', 'von', 'neumann', '1945', 'first', 'draft', 'of', 'a', 'report', 'on', 'the', 'edvac', 'model', 'arsitektur', 'jadi', 'basis', 'komputer', 'unit', 'pemrosesan', 'isi', 'alu', 'register', 'prosesor', 'unit', 'kontrol', 'isi', 'instruction', 'register', 'program', 'counter', 'memori', 'simpan', 'data', 'instruksi', 'simpan', 'eksternal', 'mekanisme', 'input', 'output']",90,0.9
185,"['turbo', 'boost', 'aplikasi', 'tuju', 'optimal', 'mem', 'boost', 'kerja', 'komputer', 'komputer', 'turbo', 'boost', 'efisien', 'cepat', 'turbo', 'boost']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",100,1.0
61,"['hibernate', 'mati', 'komputer', 'user', 'hilang', 'data', 'close', 'simpan', 'makan', 'guna', 'listrik', 'baterai', 'hibernate', 'mati', 'nyala', 'komputer', 'tampil', 'layar', 'desktop', 'hibernate']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",80,0.8
102,"['hibernate', 'kondisi', 'mana', 'power', 'putus', 'komponen', 'pc', 'giat', 'simpan', 'hardisk']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",50,0.5
36,"['client', 'server', 'jaring', 'komputer', 'komunikasi', 'belah', 'server', 'sedia', 'layan', 'informasi', 'client', 'informasi', 'client', 'tindak', 'sedia', 'informasi', 'kirim', 'server']","['client', 'server', 'jaring', 'komputer', 'model', 'komunikasi', 'belah', 'sedia', 'layan', 'data', 'server', 'guna', 'minta', 'layan', 'data', 'client', 'belah', 'komunikasi', 'hardware', 'beda', 'mesin', 'sistem']",80,0.8
33,"['client', 'data', 'jaring', 'server', 'layan', 'simpan', 'data', 'sana', 'contoh', 'buka', 'website', 'komputer', 'client', 'kirim', 'pesan', 'server', 'data', 'website', 'tampil', 'tampil', 'gambar', 'tulis', 'dll', 'website', 'server', 'kirim', 'data', 'syarat', 'koneksi', 'jalin', 'ack']","['client', 'server', 'jaring', 'komputer', 'model', 'komunikasi', 'belah', 'sedia', 'layan', 'data', 'server', 'guna', 'minta', 'layan', 'data', 'client', 'belah', 'komunikasi', 'hardware', 'beda', 'mesin', 'sistem']",80,0.8
192,"['turbo', 'boost', 'me', 'restart', 'komputer', 'komputer', 'turbo', 'boost', 'mati', 'powernya', 'aplikasi', 'program', 'jalan', 'tutup', 'beda', 'turn', 'off', 'komputer', 'buka', 'on', 'perintah', 'user']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",40,0.4
210,"['clock', 'boost', 'yg', 'sedia', 'intel']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",10,0.1
42,"['host', 'tingkat', 'hierarki', 'jaring', 'client', 'milik', 'akses', 'batas', 'singkat', 'data', 'akses', 'host', 'server', 'buka', 'webpage', 'client', 'data', 'server', 'kirim', 'data', 'http', 'client', 'akses']","['client', 'server', 'jaring', 'komputer', 'model', 'komunikasi', 'belah', 'sedia', 'layan', 'data', 'server', 'guna', 'minta', 'layan', 'data', 'client', 'belah', 'komunikasi', 'hardware', 'beda', 'mesin', 'sistem']",90,0.9
186,"['turbo', 'boost', 'teknologi', 'atur', 'naik', 'cepat', 'clock', 'cpu', 'komputer', 'program', 'turbo', 'boost', 'sederhana', 'program', 'meng', 'overclock', 'cpu', 'komputer', 'otomatis', 'gantung', 'butuh', 'beda', 'sistem', 'overclocking', 'konvensional', 'program', 'turbo', 'boost', 'default', 'intel', 'prosesor', 'i5', 'atas', 'program', 'turbo', 'boost', 'komputer', 'butuh', 'cepat', 'clock', 'cpu', 'main', 'game', 'program', 'otomatis', 'naik', 'cepat', 'clock', 'cpu', 'kerja', 'turbo', 'boost', 'overclock', 'konvensional', 'salah', 'satu', 'atur', 'voltase', 'masuk', 'cpu', 'beda', 'program', 'turbo', 'boost', 'intel', 'turbo', 'boost', 'proses', 'overclocking', 'otomatis', 'aman', 'resiko', 'cpu', 'rusak', 'program', 'hitung', 'voltase', 'maksimum', 'masuk', 'beda', 'overclocking', 'konvensional', 'mana', 'atur', 'input', 'cpu', 'resiko', 'rusa', 'laku']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",100,1.0
90,"['kondisi', 'mati', 'daya', 'komputer', 'simpan', 'kondisi', 'hibernate', 'state']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",50,0.5
17,"['client', 'server', 'jaring', 'komputer', 'entitas', 'kirim', 'terima', 'sedia', 'data', 'jaring']","['client', 'server', 'jaring', 'komputer', 'model', 'komunikasi', 'belah', 'sedia', 'layan', 'data', 'server', 'guna', 'minta', 'layan', 'data', 'client', 'belah', 'komunikasi', 'hardware', 'beda', 'mesin', 'sistem']",60,0.6
129,"['model', 'komputer', 'arsitektural', 'von', 'neuman', 'terap', 'arithmatic', 'logic', 'unit', 'control', 'memory', 'input', 'output', 'model', 'komputer', 'input', 'cpu', 'output', 'cpu', 'control', 'unit', 'alu', 'fungsi', 'aritmatika']","['komputer', 'model', 'von', 'neumann', 'model', 'arsitektur', 'deskripsi', 'john', 'von', 'neumann', '1945', 'first', 'draft', 'of', 'a', 'report', 'on', 'the', 'edvac', 'model', 'arsitektur', 'jadi', 'basis', 'komputer', 'unit', 'pemrosesan', 'isi', 'alu', 'register', 'prosesor', 'unit', 'kontrol', 'isi', 'instruction', 'register', 'program', 'counter', 'memori', 'simpan', 'data', 'instruksi', 'simpan', 'eksternal', 'mekanisme', 'input', 'output']",100,1.0
44,"['client', 'server', 'interaksi', 'jaring', 'mana', 'client', 'user', 'kirim', 'minta', 'data', 'server', 'client', 'server', 'memngirimkan', 'layan', 'data', 'client', 'sesuai', 'minta', 'client', 'server', 'diri', 'tugas', 'layan', 'client', 'clientnya']","['client', 'server', 'jaring', 'komputer', 'model', 'komunikasi', 'belah', 'sedia', 'layan', 'data', 'server', 'guna', 'minta', 'layan', 'data', 'client', 'belah', 'komunikasi', 'hardware', 'beda', 'mesin', 'sistem']",90,0.9
139,"['komputer', 'von', 'neumann', 'jenis', 'komputer', 'utama', 'unit', 'aritmatika', 'logis', 'alu', 'unit', 'kontrol', 'memori', 'alat', 'masuk', 'hubung', 'bus', 'komputer', 'jenis', 'ragam', 'komputer', 'jaman']","['komputer', 'model', 'von', 'neumann', 'model', 'arsitektur', 'deskripsi', 'john', 'von', 'neumann', '1945', 'first', 'draft', 'of', 'a', 'report', 'on', 'the', 'edvac', 'model', 'arsitektur', 'jadi', 'basis', 'komputer', 'unit', 'pemrosesan', 'isi', 'alu', 'register', 'prosesor', 'unit', 'kontrol', 'isi', 'instruction', 'register', 'program', 'counter', 'memori', 'simpan', 'data', 'instruksi', 'simpan', 'eksternal', 'mekanisme', 'input', 'output']",90,0.9
54,"['jaring', 'client', 'server', 'salah', 'arsitektur', 'jaring', 'komputer', 'fungsi', 'perangkat', 'client', 'proses', 'data', 'perangkat', 'client', 'perangkat', 'komputer', 'aplikasi', 'software', 'terinstal', 'terima', 'data', 'jaring', 'salah', 'contoh', 'aplikasi', 'software', 'terima', 'data', 'jaring', 'web', 'browser', 'mana', 'user', 'request', 'halaman', 'web', 'aplikasi', 'web', 'browser', 'persis', 'laku', 'perangkat', 'kategori', 'client', 'perangkat', 'mobile', 'smartphone', 'tablet']","['client', 'server', 'jaring', 'komputer', 'model', 'komunikasi', 'belah', 'sedia', 'layan', 'data', 'server', 'guna', 'minta', 'layan', 'data', 'client', 'belah', 'komunikasi', 'hardware', 'beda', 'mesin', 'sistem']",100,1.0
9,"['client', 'server', 'host', 'me', 'request', 'data', 'host', 'fungsi', 'server', 'jaring', 'client', 'mengirmkan', 'ip', 'address', 'server', 'tuju', 'ip', 'masuk', 'dalam', 'dns', 'server', 'fungsi', 'periksa', 'alamat', 'ip', 'kirim', 'olek', 'client', 'daftar', 'jaring']","['client', 'server', 'jaring', 'komputer', 'model', 'komunikasi', 'belah', 'sedia', 'layan', 'data', 'server', 'guna', 'minta', 'layan', 'data', 'client', 'belah', 'komunikasi', 'hardware', 'beda', 'mesin', 'sistem']",60,0.6
86,"['hibernate', 'pc', 'salah', 'mati', 'shut', 'down', 'komputer', 'kondisi', 'power', 'hardware', 'mati', 'data', 'simpan', 'hard', 'disk', 'nyala', 'cold', 'boot', 'terus', 'data', 'simpan', 'harddisk']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",100,1.0
89,"['hibernate', 'mati', 'komputer', 'total', 'simpan', 'aplikasi', 'beda', 'sleep', 'sleep', 'butuh', 'konsumsi', 'data', 'hibernate', 'nyala', 'perlu', 'beda', 'shut', 'down', 'shutdown', 'komputer', 'mati', 'total', 'nyala', 'aplikasi', 'tutup', 'hibernate', 'program', 'buka', 'tutup']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",80,0.8
68,"['proses', 'hibernate', 'pc', 'shutdown', 'proses', 'hibernate', 'data', 'pc', 'nyala', 'ram', 'simpan', 'storage', 'rom', 'komputer', 'posisi', 'hibernate', 'power', 'kondisi', 'off', 'men', 'transfer', 'daya', 'ram', 'pc', 'hidup', 'proses', 'hibernate', 'os', 'me', 'load', 'data', 'rom', 'ram']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",100,1.0
154,"['komputer', 'model', 'von', 'neuman', 'arsitektur', 'komputer', 'cipta', 'von', 'neumann', 'arsitektur', 'komputer', '4', 'utama', 'aritmetika', 'logis', 'alu', 'kontrol', 'unit', 'memori', 'input', 'output']","['komputer', 'model', 'von', 'neumann', 'model', 'arsitektur', 'deskripsi', 'john', 'von', 'neumann', '1945', 'first', 'draft', 'of', 'a', 'report', 'on', 'the', 'edvac', 'model', 'arsitektur', 'jadi', 'basis', 'komputer', 'unit', 'pemrosesan', 'isi', 'alu', 'register', 'prosesor', 'unit', 'kontrol', 'isi', 'instruction', 'register', 'program', 'counter', 'memori', 'simpan', 'data', 'instruksi', 'simpan', 'eksternal', 'mekanisme', 'input', 'output']",90,0.9
117,"['komputer', 'model', 'von', 'meumann', 'model', 'komputer', 'model', 'van', 'neumaan', 'gambar', 'komputer', 'engan', '4', 'utama', 'alu', 'cpu', 'memory', 'input', 'output', 'input', 'masuk', 'olah', 'processor', 'output', 'contoh', 'input', 'keyborad', 'mouse', 'output', 'keluar', 'hasil', 'proses', 'input', 'contoh', 'printer', 'monitor', 'speaker', 'cpu', 'central', 'processing', 'unit', 'guna', 'otak', 'pemrosesan', 'komputer', 'tugas', 'atur', 'kendali', 'alat', 'alu', 'arithmatic', 'logical', 'unit', 'fungsi', 'lak', 'hitung', 'aritmatika', 'memory', 'media', 'simpan', 'data', 'komputer']","['komputer', 'model', 'von', 'neumann', 'model', 'arsitektur', 'deskripsi', 'john', 'von', 'neumann', '1945', 'first', 'draft', 'of', 'a', 'report', 'on', 'the', 'edvac', 'model', 'arsitektur', 'jadi', 'basis', 'komputer', 'unit', 'pemrosesan', 'isi', 'alu', 'register', 'prosesor', 'unit', 'kontrol', 'isi', 'instruction', 'register', 'program', 'counter', 'memori', 'simpan', 'data', 'instruksi', 'simpan', 'eksternal', 'mekanisme', 'input', 'output']",100,1.0
211,"['tingkat', 'frekuensi', 'processor', 'fungsi', 'fungsi']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",60,0.6
67,"['hibernate', 'state', 'komputer', 'mana', 'data', 'data', 'program', 'aplikasi', 'simpan', 'harddisk', 'disk', 'drive', 'komputer', 'energi', 'power', 'rendah', 'hibernate', 'hibernate', 'komputer', 'shutdown', 'mati', 'proses', 'simpan', 'data']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",80,0.8
8,"['guna', 'sedia', 'internet']","['client', 'server', 'jaring', 'komputer', 'model', 'komunikasi', 'belah', 'sedia', 'layan', 'data', 'server', 'guna', 'minta', 'layan', 'data', 'client', 'belah', 'komunikasi', 'hardware', 'beda', 'mesin', 'sistem']",50,0.5
101,"['simpan', 'kondisi', 'komputer', 'rom', 'mati', 'daya', 'hidup', 'lanjut', 'kondisi', 'simpan']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",80,0.8
201,"['mampu', 'processor', 'tingkat', 'frekuensi', 'clock', 'performa']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",70,0.7
